rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
1st,Troy,90.1,82.5,97.7,32.32,31.2,8,7.5,10.0,12.5,5.0,12.5,10.0,12.5,12.5,Singles F1: 4th; Singles F2: 2nd; Singles F3: 1st; Singles F4: 7th; Doubles F1: 1st; Doubles F2: 2nd; Doubles F3: 1st; Doubles F4: 1st
2nd,Ann Arbor Pioneer,68.4,48.5,88.3,30.59,30.83,8,10.0,7.5,2.5,10.0,1.0,5.0,2.5,10.0,Singles F1: 2nd; Singles F2: 3rd; Singles F3: 10th; Singles F4: 2nd; Doubles F1: 25th; Doubles F2: 6th; Doubles F3: 13th; Doubles F4: 2nd
3rd,Bloomfield Hills,68.1,46.0,90.3,36.23,31.58,8,5.0,5.0,7.5,5.0,10.0,5.0,7.5,1.0,Singles F1: 5th; Singles F2: 8th; Singles F3: 3rd; Singles F4: 5th; Doubles F1: 2nd; Doubles F2: 8th; Doubles F3: 4th; Doubles F4: 19th
4th,Bloomfield Hills Brother Rice,63.1,37.5,88.8,33.1,34.09,8,5.0,2.5,2.5,2.5,5.0,7.5,10.0,2.5,Singles F1: 6th; Singles F2: 9th; Singles F3: 11th; Singles F4: 9th; Doubles F1: 6th; Doubles F2: 3rd; Doubles F3: 2nd; Doubles F4: 15th
5th,Detroit Catholic Central,61.1,35.0,87.3,32.03,28.97,8,2.5,2.5,7.5,2.5,5.0,5.0,5.0,5.0,Singles F1: 15th; Singles F2: 11th; Singles F3: 4th; Singles F4: 13th; Doubles F1: 8th; Doubles F2: 7th; Doubles F3: 5th; Doubles F4: 5th
6th,Clarkston,60.6,36.0,85.2,32.21,30.67,8,5.0,12.5,5.0,5.0,2.5,2.5,2.5,1.0,Singles F1: 7th; Singles F2: 1st; Singles F3: 5th; Singles F4: 8th; Doubles F1: 12th; Doubles F2: 9th; Doubles F3: 14th; Doubles F4: 22nd
7th,Okemos,59.8,33.5,86.0,33.03,32.23,8,5.0,5.0,5.0,7.5,2.5,2.5,1.0,5.0,Singles F1: 8th; Singles F2: 5th; Singles F3: 7th; Singles F4: 3rd; Doubles F1: 14th; Doubles F2: 13th; Doubles F3: 18th; Doubles F4: 6th
8th,Novi,58.9,35.0,82.8,32.14,29.98,7,2.5,7.5,5.0,7.5,2.5,0.0,7.5,2.5,Singles F1: 11th; Singles F2: 4th; Singles F3: 8th; Singles F4: 4th; Doubles F1: 13th; Doubles F2: 34th; Doubles F3: 3rd; Doubles F4: 12th
9th,Ann Arbor Skyline,55.8,32.0,79.7,30.54,30.3,8,2.5,5.0,10.0,2.5,5.0,5.0,1.0,1.0,Singles F1: 13th; Singles F2: 7th; Singles F3: 2nd; Singles F4: 12th; Doubles F1: 7th; Doubles F2: 5th; Doubles F3: 29th; Doubles F4: 29th
10th,Rochester Adams,53.1,27.5,78.6,35.73,35.7,7,2.5,5.0,0.0,2.5,2.5,7.5,2.5,5.0,Singles F1: 9th; Singles F2: 6th; Singles F3: 52nd; Singles F4: 10th; Doubles F1: 11th; Doubles F2: 4th; Doubles F3: 10th; Doubles F4: 7th
11th,Hartland,49.4,29.5,69.3,22.52,21.09,6,0.0,0.0,2.5,12.5,1.0,1.0,5.0,7.5,Singles F1: 44th; Singles F2: 34th; Singles F3: 16th; Singles F4: 1st; Doubles F1: 30th; Doubles F2: 17th; Doubles F3: 8th; Doubles F4: 3rd
12th,Holland West Ottawa,48.3,21.0,75.6,27.08,27.08,7,0.0,2.5,2.5,1.0,7.5,2.5,2.5,2.5,Singles F1: 40th; Singles F2: 16th; Singles F3: 14th; Singles F4: 19th; Doubles F1: 4th; Doubles F2: 10th; Doubles F3: 9th; Doubles F4: 11th
13th,Ann Arbor Huron,46.4,21.0,71.8,35.51,38.13,6,7.5,2.5,2.5,5.0,1.0,0.0,0.0,2.5,Singles F1: 3rd; Singles F2: 10th; Singles F3: 12th; Singles F4: 6th; Doubles F1: 27th; Doubles F2: 39th; Doubles F3: 34th; Doubles F4: 10th
14th,Rochester,45.9,16.5,75.2,27.43,26.0,8,1.0,1.0,2.5,1.0,2.5,1.0,2.5,5.0,Singles F1: 17th; Singles F2: 17th; Singles F3: 13th; Singles F4: 20th; Doubles F1: 9th; Doubles F2: 26th; Doubles F3: 15th; Doubles F4: 8th
15th,Brighton,45.1,19.5,70.8,28.68,27.33,7,2.5,1.0,5.0,2.5,1.0,2.5,5.0,0.0,Singles F1: 16th; Singles F2: 28th; Singles F3: 6th; Singles F4: 14th; Doubles F1: 26th; Doubles F2: 15th; Doubles F3: 6th; Doubles F4: 35th
16th,Rockford,45.0,15.5,74.6,29.39,29.24,8,1.0,2.5,1.0,2.5,2.5,2.5,2.5,1.0,Singles F1: 19th; Singles F2: 13th; Singles F3: 21st; Singles F4: 16th; Doubles F1: 15th; Doubles F2: 14th; Doubles F3: 12th; Doubles F4: 18th
17th,Troy Athens,44.6,26.0,63.1,33.77,31.92,5,2.5,1.0,0.0,0.0,7.5,12.5,0.0,2.5,Singles F1: 12th; Singles F2: 24th; Singles F3: 54th; Singles F4: 35th; Doubles F1: 3rd; Doubles F2: 1st; Doubles F3: 44th; Doubles F4: 9th
18th,Jenison,39.3,11.0,67.6,23.34,23.26,8,1.0,2.5,1.0,1.0,1.0,1.0,1.0,2.5,Singles F1: 27th; Singles F2: 14th; Singles F3: 25th; Singles F4: 22nd; Doubles F1: 19th; Doubles F2: 21st; Doubles F3: 19th; Doubles F4: 14th
19th,Northville,39.1,11.5,66.7,33.38,32.92,7,0.0,2.5,1.0,2.5,1.0,1.0,2.5,1.0,Singles F1: 35th; Singles F2: 12th; Singles F3: 24th; Singles F4: 15th; Doubles F1: 24th; Doubles F2: 18th; Doubles F3: 16th; Doubles F4: 21st
20th,Rochester Hills Stoney Creek,38.2,11.0,65.5,27.76,23.05,7,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,Singles F1: 18th; Singles F2: 23rd; Singles F3: 17th; Singles F4: 18th; Doubles F1: 5th; Doubles F2: 24th; Doubles F3: 28th; Doubles F4: 38th
21st,Holt,37.0,11.5,62.5,28.04,29.73,6,1.0,0.0,1.0,0.0,1.0,2.5,5.0,1.0,Singles F1: 26th; Singles F2: 33rd; Singles F3: 26th; Singles F4: 39th; Doubles F1: 18th; Doubles F2: 16th; Doubles F3: 7th; Doubles F4: 20th
22nd,Grand Ledge,34.2,7.5,60.8,24.41,30.79,6,1.0,1.0,1.0,1.0,1.0,2.5,0.0,0.0,Singles F1: 22nd; Singles F2: 22nd; Singles F3: 22nd; Singles F4: 23rd; Doubles F1: 17th; Doubles F2: 12th; Doubles F3: 39th; Doubles F4: 36th
23rd,Romeo,33.7,7.5,60.0,26.53,25.11,6,1.0,1.0,1.0,0.0,1.0,2.5,1.0,0.0,Singles F1: 20th; Singles F2: 20th; Singles F3: 18th; Singles F4: 36th; Doubles F1: 21st; Doubles F2: 11th; Doubles F3: 31st; Doubles F4: 40th
24th,Utica Eisenhower,32.5,9.0,55.9,29.7,26.93,6,0.0,1.0,2.5,1.0,0.0,1.0,1.0,2.5,Singles F1: 45th; Singles F2: 26th; Singles F3: 15th; Singles F4: 28th; Doubles F1: 35th; Doubles F2: 28th; Doubles F3: 23rd; Doubles F4: 16th
