rank,school,players_counted,wins,losses,win_pct,TGRS,TGRS_scaled,ts_rating,sos,quality_wins
1,Bloomfield Hills Cranbrook Kingswood,10,128,28,0.821,515.87,100.0,27.48,33.09,101
2,Holland Christian,11,179,43,0.806,502.2,97.3,27.74,30.26,128
3,Detroit Country Day,13,126,27,0.824,476.59,92.3,25.0,30.59,91
4,Grand Rapids South Christian,8,161,56,0.742,408.65,79.0,23.55,26.62,66
5,Chelsea,8,142,51,0.736,400.3,77.4,24.98,27.87,65
6,Petoskey,8,173,80,0.684,392.89,75.9,21.05,27.56,80
7,East Grand Rapids,9,82,68,0.547,361.75,69.8,18.45,30.3,36
8,Haslett,9,127,60,0.679,360.66,69.6,21.6,27.0,58
9,Dewitt,8,135,95,0.587,356.45,68.8,19.8,27.37,47
10,Big Rapids,8,126,65,0.66,355.73,68.7,20.8,26.44,49
11,Zeeland West,8,87,72,0.547,342.01,66.0,17.64,26.84,26
12,Zeeland East,8,103,106,0.493,330.33,63.7,16.79,27.76,31
13,St. Joseph,8,114,78,0.594,324.06,62.5,20.06,25.95,28
14,Cadillac,8,79,47,0.627,308.06,59.3,17.12,25.5,25
15,Middleville Thornapple Kellogg,8,89,56,0.614,300.16,57.8,17.91,24.56,8
16,Mason,8,104,85,0.55,275.75,53.0,16.62,25.66,28
17,Sturgis,8,110,96,0.534,266.87,51.3,16.55,25.17,21
18,Traverse City St Francis,8,55,86,0.39,264.24,50.7,14.12,28.16,23
19,Richland Gull Lake,8,104,55,0.654,255.21,49.0,18.06,25.53,28
20,Ada Forest Hills Eastern,13,87,80,0.521,253.08,48.6,12.86,28.86,19
21,Coopersville,8,100,63,0.613,251.82,48.3,16.22,21.54,7
22,Parma Western,8,121,57,0.68,251.29,48.2,20.57,24.64,20
23,Stevensville Lakeshore,8,46,76,0.377,210.86,40.3,10.42,24.84,9
24,Vicksburg,10,103,102,0.502,198.2,37.8,11.14,24.65,27
25,St. Clair,11,111,51,0.685,192.85,36.8,16.84,22.89,14
26,St. Johns,8,92,70,0.568,192.72,36.8,14.27,23.66,10
27,Grand Rapids Christian,10,41,76,0.35,188.84,36.0,10.18,28.25,17
28,Hamilton,8,37,73,0.336,188.24,35.9,10.43,27.79,10
29,Walled Lake Western,7,42,37,0.532,183.12,34.9,12.35,23.97,10
30,Spring Lake,9,73,113,0.392,181.97,34.6,10.22,27.54,14
31,Holland,8,35,74,0.321,151.54,28.7,7.57,26.52,6
32,Coldwater,8,66,102,0.393,135.03,25.5,10.81,23.53,2
33,Eaton Rapids,8,54,45,0.545,134.87,25.4,11.3,21.36,6
34,Trenton,10,80,51,0.611,126.03,23.7,16.74,23.45,13
35,Milan,8,45,61,0.425,125.47,23.6,10.55,24.12,3
36,Fowlerville,8,81,85,0.488,123.69,23.2,12.97,23.3,4
37,Adrian,9,56,34,0.622,123.66,23.2,12.86,23.26,3
38,Bay City John Glenn,8,76,44,0.633,122.12,22.9,15.34,21.48,6
39,Jackson Northwests,9,73,70,0.51,105.97,19.8,11.67,23.11,7
40,Auburn Hills Avondale,9,60,51,0.541,105.5,19.7,10.86,24.12,7
41,Ionia,10,47,50,0.485,100.9,18.8,9.66,22.18,2
42,Marshall,8,52,83,0.385,84.31,15.5,8.55,21.21,1
43,Owosso,9,69,60,0.535,82.37,15.2,11.37,19.85,0
44,Battle Creek Harper Creek,10,57,62,0.479,77.88,14.3,8.97,21.44,2
45,Madison Heights Lamphere,7,30,17,0.638,61.7,11.1,10.44,19.92,0
46,Clio,8,47,103,0.313,60.5,10.9,6.06,20.5,1
47,Riverview,8,25,90,0.217,52.46,9.3,5.3,24.25,1
48,Marysville,8,24,65,0.27,44.68,7.8,4.61,22.21,1
49,Tecumseh,7,11,36,0.234,44.49,7.7,4.24,24.33,0
50,Niles,12,44,115,0.277,39.06,6.7,4.84,20.38,0
51,Wyoming Kelloggsville,13,53,98,0.351,34.71,5.8,3.32,16.8,0
52,Alma,11,20,62,0.244,29.14,4.7,2.69,21.66,0
53,Frankenmuth,6,5,42,0.106,21.15,3.2,0.48,20.32,0
54,Garden City,3,10,14,0.417,20.93,3.1,5.63,17.25,0
55,Cedar Springs,9,29,74,0.282,20.29,3.0,2.47,19.22,0
56,Fruitport,9,28,122,0.187,18.64,2.7,1.76,19.71,0
57,Charlotte,7,3,61,0.047,10.75,1.1,-1.83,23.48,0
58,Lansing Eastern,8,3,84,0.034,9.88,1.0,-2.48,24.4,0
59,Richmond,2,0,12,0.0,8.43,0.7,-3.1,23.05,0
60,Lansing Waverly,4,1,23,0.042,4.96,0.0,0.45,7.33,0
