rank,school,combined_score,total_points,depth_score,team_sos,team_local_sos,slots_counted,s1_pts,s2_pts,s3_pts,s4_pts,d1_pts,d2_pts,d3_pts,d4_pts,reason_below
1st,Detroit Country Day,90.8,82.5,99.1,35.12,35.12,8,12.5,10.0,10.0,12.5,10.0,10.0,7.5,10.0,Singles F1: 1st; Singles F2: 3rd; Singles F3: 4th; Singles F4: 1st; Doubles F1: 4th; Doubles F2: 3rd; Doubles F3: 6th; Doubles F4: 4th
2nd,Bloomfield Hills Cranbrook Kingswood,90.1,81.2,98.9,34.11,34.11,8,7.5,11.25,11.25,5.0,11.25,10.0,12.5,12.5,Singles F1: 5th; Singles F2: 2nd; Singles F3: 2nd; Singles F4: 13th; Doubles F1: 2nd; Doubles F2: 4th; Doubles F3: 1st; Doubles F4: 1st
3rd,Troy,81.7,65.0,98.4,35.11,35.11,8,5.0,5.0,7.5,7.5,10.0,11.25,11.25,7.5,Singles F1: 9th; Singles F2: 10th; Singles F3: 5th; Singles F4: 6th; Doubles F1: 3rd; Doubles F2: 2nd; Doubles F3: 2nd; Doubles F4: 5th
4th,Birmingham Seaholm,74.8,52.5,97.1,34.31,34.31,8,7.5,5.0,10.0,7.5,7.5,5.0,5.0,5.0,Singles F1: 6th; Singles F2: 9th; Singles F3: 3rd; Singles F4: 7th; Doubles F1: 5th; Doubles F2: 9th; Doubles F3: 16th; Doubles F4: 12th
5th,Novi,70.7,46.5,94.9,34.16,34.16,8,7.5,5.0,7.5,10.0,3.0,3.0,7.5,3.0,Singles F1: 8th; Singles F2: 13th; Singles F3: 7th; Singles F4: 4th; Doubles F1: 29th; Doubles F2: 29th; Doubles F3: 5th; Doubles F4: 19th
6th,Holland Christian,69.7,44.0,95.4,32.85,32.85,8,3.0,7.5,5.0,5.0,12.5,3.0,5.0,3.0,Singles F1: 20th; Singles F2: 8th; Singles F3: 16th; Singles F4: 10th; Doubles F1: 1st; Doubles F2: 19th; Doubles F3: 11th; Doubles F4: 17th
7th,Bloomfield Hills Brother Rice,69.5,43.5,95.6,34.2,34.2,8,5.0,3.0,5.0,5.0,5.0,7.5,10.0,3.0,Singles F1: 11th; Singles F2: 19th; Singles F3: 14th; Singles F4: 11th; Doubles F1: 11th; Doubles F2: 6th; Doubles F3: 3rd; Doubles F4: 24th
8th,Ann Arbor Pioneer,68.5,44.8,92.2,30.17,30.17,8,10.0,5.0,5.0,5.0,0.5,5.0,3.0,11.25,Singles F1: 3rd; Singles F2: 12th; Singles F3: 9th; Singles F4: 9th; Doubles F1: 93rd; Doubles F2: 12th; Doubles F3: 29th; Doubles F4: 2nd
9th,Grand Rapids Forest Hills Northern,67.1,39.5,94.8,33.85,33.85,8,3.0,10.0,3.0,3.0,3.0,5.0,5.0,7.5,Singles F1: 18th; Singles F2: 4th; Singles F3: 20th; Singles F4: 19th; Doubles F1: 18th; Doubles F2: 14th; Doubles F3: 15th; Doubles F4: 8th
10th,Hudsonville Unity Christian,63.9,36.0,91.7,28.26,28.26,8,5.0,1.25,5.0,7.5,1.25,3.0,3.0,10.0,Singles F1: 10th; Singles F2: 53rd; Singles F3: 13th; Singles F4: 8th; Doubles F1: 45th; Doubles F2: 24th; Doubles F3: 23rd; Doubles F4: 3rd
11th,Ann Arbor Greenhills,63.2,33.5,93.0,34.8,34.8,8,1.25,3.0,5.0,1.25,7.5,7.5,5.0,3.0,Singles F1: 42nd; Singles F2: 17th; Singles F3: 10th; Singles F4: 41st; Doubles F1: 8th; Doubles F2: 5th; Doubles F3: 10th; Doubles F4: 20th
12th,Bloomfield Hills,63.1,32.5,93.7,38.59,38.59,8,3.0,3.0,3.0,3.0,5.0,5.0,7.5,3.0,Singles F1: 17th; Singles F2: 24th; Singles F3: 19th; Singles F4: 17th; Doubles F1: 9th; Doubles F2: 15th; Doubles F3: 7th; Doubles F4: 29th
13th,Byron Center,61.8,34.0,89.7,28.33,28.33,8,3.0,7.5,1.25,1.25,7.5,3.0,3.0,7.5,Singles F1: 31st; Singles F2: 7th; Singles F3: 59th; Singles F4: 63rd; Doubles F1: 6th; Doubles F2: 22nd; Doubles F3: 26th; Doubles F4: 7th
14th,Clarkston,61.2,31.2,91.1,32.35,32.35,8,3.0,7.5,7.5,3.0,3.0,3.0,3.0,1.25,Singles F1: 21st; Singles F2: 6th; Singles F3: 6th; Singles F4: 21st; Doubles F1: 24th; Doubles F2: 23rd; Doubles F3: 31st; Doubles F4: 59th
15th,Chelsea,61.1,33.5,88.7,31.0,31.0,8,1.25,0.5,12.5,5.0,3.0,5.0,5.0,1.25,Singles F1: 52nd; Singles F2: 90th; Singles F3: 1st; Singles F4: 16th; Doubles F1: 19th; Doubles F2: 16th; Doubles F3: 13th; Doubles F4: 35th
